iter	RMSE
0	160.6338862
1	154.5405952
2	148.9243086
3	144.4316715
4	140.4416453
5	137.0640421
6	134.2289141
7	131.3928833
8	129.1172174
9	127.0361224
10	125.2121751
11	123.1964805
12	122.0673114
13	120.9063221
14	119.6893934
15	118.9407179
16	117.8897317
17	117.2415719
18	116.4610073
19	115.7819651
20	115.2683567
21	114.6221897
22	113.9573202
23	113.3609832
24	112.8564376
25	112.5861396
26	112.1884429
27	111.8036338
28	111.3695673
29	111.130988
30	110.6342301
31	110.2441017
32	110.0060177
33	109.6744844
34	109.424262
35	109.1003875
36	108.8759116
37	108.4396249
38	108.1410523
39	107.8492969
40	107.6491044
41	107.3737195
42	107.2730712
43	107.0386834
44	106.7721634
45	106.7027113
46	106.5646008
47	106.4293398
48	106.2820884
49	105.9290102
50	105.7336196
51	105.4448411
52	105.2521043
53	104.9665049
54	104.8051442
55	104.6538595
56	104.6165749
57	104.511742
58	104.4089671
59	104.129401
60	104.0588992
61	103.904471
62	103.6598441
63	103.5283955
64	103.3206509
65	103.2507074
66	103.2005524
67	103.0549191
68	102.7887536
69	102.761071
70	102.6433164
71	102.5430656
72	102.4717236
73	102.2092838
74	102.0156481
75	101.829946
76	101.793568
77	101.6396553
78	101.4823085
79	101.1787329
80	101.0536519
81	100.8902544
82	100.6604065
83	100.5375966
84	100.3036772
85	100.2474686
86	100.118447
87	100.0142025
88	99.82181717
89	99.68257948
90	99.55293806
91	99.41605189
92	99.28947358
93	99.15598356
94	99.04189824
95	98.94794311
96	98.89538292
97	98.76519371
98	98.63776955
99	98.47885049
