iter	Passed	Remaining
0	154	15290
1	157	7735
2	160	5202
3	163	3922
4	166	3167
5	168	2645
6	170	2271
7	173	1990
8	175	1772
9	177	1598
10	179	1455
11	182	1337
12	184	1234
13	186	1144
14	188	1067
15	190	999
16	192	939
17	193	881
18	194	830
19	196	784
20	197	742
21	198	704
22	199	668
23	200	636
24	202	606
25	203	578
26	204	552
27	205	528
28	206	506
29	207	485
30	209	465
31	210	446
32	211	429
33	212	413
34	214	397
35	215	382
36	216	368
37	217	355
38	218	342
39	219	329
40	221	318
41	222	307
42	223	296
43	225	286
44	226	276
45	227	267
46	229	258
47	230	249
48	231	241
49	233	233
50	234	225
51	235	217
52	237	210
53	239	203
54	240	196
55	242	190
56	243	183
57	245	177
58	246	171
59	248	165
60	249	159
61	250	153
62	252	148
63	253	142
64	254	137
65	256	131
66	257	126
67	258	121
68	260	116
69	261	111
70	262	107
71	263	102
72	265	98
73	266	93
74	268	89
75	269	85
76	270	80
77	271	76
78	273	72
79	274	68
80	275	64
81	277	60
82	278	57
83	279	53
84	280	49
85	281	45
86	283	42
87	284	38
88	285	35
89	287	31
90	288	28
91	289	25
92	290	21
93	292	18
94	293	15
95	294	12
96	296	9
97	297	6
98	298	3
99	299	0
