latitude,longitude,room_type,bathrooms,bedrooms,beds,price,property_type,accommodates
37.77028,-122.43317,Entire home/apt,1.0,1.0,2.0,158.0,Entire serviced apartment,3
37.74474,-122.42089,Entire home/apt,2.0,2.0,2.0,250.0,Entire rental unit,4
37.73077,-122.44827,Private room,2.0,1.0,1.0,62.0,Private room in home,1
37.76555,-122.45213,Private room,4.0,3.0,1.0,55.0,Private room in rental unit,1
37.77377,-122.43614,Entire home/apt,1.5,1.0,1.0,527.0,Entire condo,2
37.7175,-122.39698,Private room,1.5,1.0,1.0,107.0,Private room,2
37.79249,-122.41499,Entire home/apt,1.0,0.0,1.0,100.0,Entire rental unit,2
37.7914,-122.41149,Private room,1.0,1.0,1.0,70.0,Private room in condo,2
37.76901,-122.44701,Private room,3.0,1.0,2.0,65.0,Private room in rental unit,1
37.76932,-122.44723,Private room,3.0,1.0,2.0,65.0,Private room in rental unit,1
37.76237,-122.42992,Private room,1.5,1.0,1.0,115.0,Private room in rental unit,2
37.74858,-122.42865,Entire home/apt,1.0,0.0,2.0,95.0,Entire rental unit,3
37.77247,-122.43301,Private room,1.0,1.0,2.0,116.0,Private room in home,2
37.7962,-122.41562,Entire home/apt,1.0,1.0,1.0,251.0,Entire loft,2
37.73807,-122.47554,Entire home/apt,1.0,2.0,3.0,100.0,Entire home,3
37.75675583,-122.4001694,Private room,1.0,1.0,1.0,169.0,Private room in condo,2
37.78897,-122.43376,Entire home/apt,1.0,1.0,2.0,254.0,Entire guest suite,4
37.74159,-122.43159,Private room,1.0,1.0,2.0,160.0,Private room in home,2
37.77885,-122.50534,Entire home/apt,1.0,1.0,2.0,200.0,Entire rental unit,4
37.74038,-122.41327,Entire home/apt,1.0,2.0,3.0,162.0,Entire rental unit,2
37.741,-122.42018,Entire home/apt,1.0,0.0,1.0,89.0,Entire rental unit,1
37.7617,-122.41887,Entire home/apt,1.0,1.0,1.0,116.0,Entire rental unit,2
37.76123,-122.43326,Entire home/apt,1.0,1.0,2.0,130.0,Entire home,3
37.78887,-122.41306,Entire home/apt,1.0,1.0,2.0,178.0,Entire condo,2
37.76156,-122.42943,Private room,1.0,1.0,1.0,74.0,Private room in rental unit,1
37.76122,-122.43297,Entire home/apt,1.0,0.0,2.0,77.0,Entire guest suite,2
37.79186,-122.42429,Entire home/apt,1.0,1.0,1.0,130.0,Entire rental unit,2
37.7714,-122.42935,Entire home/apt,1.0,1.0,1.0,126.0,Entire rental unit,2
37.79373,-122.42507,Private room,1.5,1.0,1.0,65.0,Private room in rental unit,1
37.79337,-122.40198,Entire home/apt,1.0,1.0,2.0,139.0,Entire condo,2
37.79352,-122.42649,Entire home/apt,1.0,1.0,1.0,145.0,Entire rental unit,2
37.77927,-122.48432,Entire home/apt,1.0,1.0,2.0,170.0,Entire rental unit,4
37.74778,-122.44566,Entire home/apt,1.0,1.0,1.0,170.0,Entire rental unit,4
37.74684,-122.41548,Entire home/apt,1.0,1.0,1.0,126.0,Entire condo,2
37.73482,-122.41559,Entire home/apt,2.0,5.0,4.0,439.0,Entire home,9
37.74921,-122.41422,Entire home/apt,1.0,1.0,1.0,210.0,Entire home,2
37.80284,-122.42839,Private room,1.0,1.0,1.0,155.0,Private room in rental unit,2
37.77737,-122.47985,Entire home/apt,1.0,0.0,3.0,100.0,Entire rental unit,2
37.75393,-122.42505,Entire home/apt,1.0,1.0,1.0,277.0,Entire rental unit,2
37.77585,-122.46413,Entire home/apt,1.0,1.0,2.0,116.0,Entire home,2
37.7937,-122.40417,Shared room,1.0,1.0,8.0,57.0,Shared room in hostel,8
37.74409,-122.40846,Entire home/apt,1.0,1.0,1.0,132.0,Entire guest suite,2
37.7937,-122.40417,Shared room,1.0,1.0,8.0,45.0,Shared room in hostel,8
